lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,suitability,ml_suitability
-4.6200,40.7600,,,,,132814.0377,132120.3804,132049.5729,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4261
-4.6200,40.8600,,,,,142279.0815,141835.0344,141760.7847,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.6200,40.9600,,,,,151966.4116,151594.1278,151663.5126,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.6200,41.0600,,,,,161836.2754,161322.9097,161384.6806,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.6200,41.1600,,,,,171857.3858,171219.6887,171221.0630,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.6200,41.2600,,,,,182004.9205,181227.5643,181204.7199,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.6200,41.3600,,,,,192259.0203,191349.8915,191312.7544,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4264
-4.6200,41.4600,,,,,202603.6630,201363.0673,201526.6097,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.6200,41.5600,,,,,213025.8152,211437.3917,211831.1365,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.6200,41.6600,,,,,223514.7911,221611.3722,222213.8778,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4258
-4.6200,41.7600,,,,,234047.0286,231872.0472,232640.4464,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4255
-4.6200,41.8600,,,,,244619.7804,242208.5545,242994.3385,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,33.9600,,,,,331906.0206,335012.3057,343916.6710,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.0600,,,,,324295.3899,330526.8999,338468.9249,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.1600,,,,,316895.6007,326361.9832,332941.7391,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.2600,,,,,309721.5616,322529.7853,327483.1846,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.3600,,,,,302789.1161,319042.1126,321969.9338,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.4600,,,,,296115.0303,315910.1958,316519.1919,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.5600,,,,,289716.9583,312019.0616,311030.6718,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.6600,,,,,283613.3799,307105.7962,305601.1648,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.7600,,,,,277823.5061,302421.3146,300061.2272,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.8600,,,,,272367.1459,296839.3280,294816.8167,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,34.9600,,,,,267264.5311,291576.9723,289276.8099,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,35.0600,,,,,262536.0954,286651.6725,283674.9194,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
-4.5200,35.1600,,,,,258202.2059,282080.9084,278201.2737,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4253
