lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,elevation_m,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,s_elevation,suitability,ml_suitability
-2.1200,35.9600,24.8572,1.1589,10.1179,142.3155,,1290.2673,3649.8848,3006.3793,1.0000,1.0000,0.6154,0.0000,0.6839,0.7056,1.0000,1.0000,0.5000,0.6895,0.6479
-2.1200,36.0600,25.7473,0.9584,10.1667,148.5956,606.0000,294.3098,362.4164,1106.9980,1.0000,1.0000,0.6231,0.0000,1.0000,1.0000,0.9000,1.0000,1.0000,0.7718,0.7480
-2.1200,36.1600,25.8763,0.9272,10.1603,187.9898,653.0000,2479.2072,2359.3104,2592.7558,1.0000,1.0000,0.6221,0.0000,0.2083,0.8490,0.4000,1.0000,1.0000,0.5807,0.5787
-2.1200,36.2600,25.8550,0.9478,10.1551,221.6778,739.0000,3350.9541,4432.3795,3766.6047,1.0000,1.0000,0.6213,0.0000,0.0000,0.6186,0.4000,1.0000,1.0000,0.5464,0.5470
-2.1200,36.3600,24.4812,1.4342,10.1602,204.0109,982.0000,410.3805,5900.6300,1131.1093,1.0000,1.0000,0.6221,0.0000,1.0000,0.4555,0.4000,1.0000,1.0000,0.6600,0.6539
-2.1200,36.4600,23.1074,1.9207,10.1652,186.3440,1208.0000,819.9194,6296.2174,317.7027,1.0000,1.0000,0.6229,0.0000,0.8720,0.4115,1.0000,0.1962,1.0000,0.1473,0.1618
-2.1200,36.5600,22.0818,2.2235,10.1094,169.6941,1381.0000,234.8701,1083.3100,298.1888,1.0000,1.0000,0.6140,0.0000,1.0000,0.9907,0.9000,0.1636,1.0000,0.1261,0.1187
-2.1200,36.6600,21.2882,2.4038,10.0131,153.7223,1587.0000,875.0291,319.4176,568.8081,1.0000,1.0000,0.5987,0.0000,0.8500,1.0000,0.6500,0.6147,1.0000,0.4345,0.4372
-2.1200,36.7600,20.5683,2.5608,9.9224,139.7691,1741.0000,146.3299,525.6136,394.4396,1.0000,1.0000,0.5843,0.0000,1.0000,1.0000,0.9000,0.3241,1.0000,0.2491,0.2375
-2.1200,36.8600,20.5116,2.5074,9.8830,143.9848,1446.0000,189.2580,163.5775,622.9482,1.0000,1.0000,0.5781,0.0000,1.0000,1.0000,0.6500,0.7049,1.0000,0.5098,0.5030
-2.1200,36.9600,20.4548,2.4540,9.8435,148.2005,1482.0000,814.5090,1989.7458,1858.4485,1.0000,1.0000,0.5718,0.0000,0.8742,0.8900,0.9000,1.0000,1.0000,0.7482,0.7433
-2.1200,37.0600,20.6476,2.4303,9.8358,145.3920,1383.0000,145.6757,554.7320,3492.6006,1.0000,1.0000,0.5706,0.0000,1.0000,1.0000,0.9000,1.0000,1.0000,0.7676,0.7548
-2.1200,37.1600,21.0068,2.4263,9.8492,137.9006,1330.0000,2271.5609,2050.6138,1149.4255,1.0000,1.0000,0.5727,0.0000,0.2914,0.8833,0.6500,1.0000,1.0000,0.6331,0.6238
-2.1200,37.2600,21.3593,2.4202,9.8542,131.3520,1465.0000,595.3725,1715.0535,5153.6680,1.0000,1.0000,0.5735,0.0000,0.9619,0.9205,0.4000,1.0000,1.0000,0.6701,0.6695
-2.1200,37.3600,21.6514,2.3945,9.7822,133.2888,1439.0000,4702.8636,2741.3186,7897.8775,1.0000,1.0000,0.5621,0.0000,0.0000,0.8065,1.0000,1.0000,1.0000,0.6572,0.6494
-2.1200,37.4600,21.9434,2.3689,9.7102,135.2255,1157.0000,2050.9059,387.1505,460.7197,1.0000,1.0000,0.5507,0.0000,0.3796,1.0000,0.4000,0.4345,1.0000,0.2614,0.2513
-2.1200,37.5600,22.2541,2.3319,9.5996,136.0022,1051.0000,3065.3222,58.4575,69.6913,1.0000,1.0000,0.5331,0.0000,0.0000,1.0000,0.4000,0.0000,1.0000,0.0000,0.0041
-2.1200,37.6600,22.5772,2.2874,9.4633,136.0054,1056.0000,3016.3312,560.7484,405.2968,1.0000,1.0000,0.5115,0.0000,0.0000,1.0000,0.3000,0.3422,1.0000,0.1830,0.1844
-2.1200,37.7600,22.9031,2.2534,9.3284,136.0515,924.0000,3022.6431,43.8900,13.5593,1.0000,1.0000,0.4901,0.0000,0.0000,1.0000,0.3000,0.0000,1.0000,0.0000,0.0033
-2.1200,37.8600,23.2544,2.3145,9.2063,136.4835,822.0000,68.0677,474.9976,193.3051,1.0000,1.0000,0.4707,0.0000,1.0000,1.0000,0.3000,0.0000,1.0000,0.0000,0.0144
